@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
555,'2017/06/08 10:54:16:989',8,419.966064,250.24028,39.862431,419.462006,244.401718,43.02927,397.587799,253.529099,44.23959,372.649811,264.420898,42.270748,356.808044,270.969727,37.963295,0
556,'2017/06/08 10:54:17:038',8,420.10257,249.770905,39.805061,419.596008,244.010803,42.961617,397.011841,252.781677,44.191002,372.529114,263.79187,42.193668,356.60199,270.149689,37.871529,0
557,'2017/06/08 10:54:17:090',8,419.548828,249.722305,39.809902,419.027618,243.990265,42.955185,396.045746,252.604919,44.190327,371.831177,263.644836,42.171505,355.224335,269.164795,37.85891,0
558,'2017/06/08 10:54:17:140',8,418.416626,250.082718,39.913551,417.627441,244.402618,43.069008,394.663452,253.445663,44.263863,370.586151,264.357849,42.213943,353.954254,269.669739,37.878731,0
559,'2017/06/08 10:54:17:189',8,418.127014,251.072525,39.893463,417.109497,244.93042,43.053299,393.69928,254.285965,44.254631,369.53537,264.974823,42.227303,352.489227,270.016205,37.893703,0
560,'2017/06/08 10:54:17:239',8,416.891602,250.666779,40.877571,423.737915,249.171432,43.524517,399.465973,252.697784,45.148205,372.90625,261.581543,43.191204,355.906952,266.604004,38.825745,0
561,'2017/06/08 10:54:17:290',8,414.473877,250.428497,40.753731,423.004791,255.899597,42.866043,399.026794,250.422028,44.942913,371.363647,259.168365,43.144329,352.473022,264.47467,38.928444,0
562,'2017/06/08 10:54:17:341',8,400.6745,256.746613,40.803703,417.331085,261.320679,42.826656,393.869873,254.207016,44.975376,365.524628,263.032776,43.223137,345.617798,268.360413,39.04808,0
563,'2017/06/08 10:54:17:389',8,396.511871,266.154144,40.114433,412.003876,271.985077,42.333664,390.289948,258.28064,44.473003,360.111633,271.147522,42.612858,337.877625,274.589539,38.45517,0
564,'2017/06/08 10:54:17:440',8,391.110229,276.1203,38.960003,407.618347,284.018372,41.757687,387.077759,266.374084,44.143559,354.241577,280.704559,42.180981,331.430237,283.192902,37.954082,0
