@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
116,'2017/06/08 10:58:35:310',2,552.05658,438.961884,49.774803,479.921021,445.912659,64.241493,419.418884,447.69635,66.074448,365.451569,446.976654,62.866348,314.593018,455.086945,55.789379,0
117,'2017/06/08 10:58:35:360',2,550.600525,436.578186,49.944645,479.994232,444.639465,64.385597,419.45459,445.015594,66.308136,365.113312,445.24292,63.127289,313.875244,452.705841,56.002995,0
118,'2017/06/08 10:58:35:411',2,550.563965,434.642273,49.980724,479.523621,443.190002,64.501961,419.2052,442.606171,66.473831,364.538239,443.221588,63.278065,312.942047,450.378265,56.106239,0
119,'2017/06/08 10:58:35:459',2,551.523438,433.4758,49.877819,479.341949,442.164734,64.563232,419.128174,441.645477,66.536057,364.27005,442.15625,63.328381,312.461945,449.224152,56.135979,0
120,'2017/06/08 10:58:35:512',2,551.997009,433.413513,49.825123,479.356323,441.983887,64.575417,419.160828,441.368225,66.554779,364.277924,441.938538,63.336922,312.235901,448.779449,56.142647,0
121,'2017/06/08 10:58:35:560',2,552.417175,435.644958,49.57967,480.060791,443.873077,64.421989,420.094177,442.813416,66.454414,364.847992,442.50589,63.296822,312.141541,448.867798,56.142212,0
122,'2017/06/08 10:58:35:610',2,552.738159,438.11734,49.315231,481.971222,445.511017,64.250694,422.152069,444.984833,66.328232,366.381866,443.187042,63.301056,312.854401,449.476776,56.219486,0
123,'2017/06/08 10:58:35:660',2,555.458374,437.954773,48.981777,484.667786,446.595978,64.178055,424.754974,446.985474,66.307579,368.23172,443.965576,63.418343,314.398438,450.871216,56.39402,0
124,'2017/06/08 10:58:35:711',2,559.351868,436.122437,48.539387,488.575378,447.794312,64.027527,428.481567,449.808472,66.194962,370.768921,445.542114,63.49358,317.072784,453.43335,56.512314,0
125,'2017/06/08 10:58:35:760',2,560.449463,432.082642,48.097542,494.182678,447.328735,63.7286,434.49585,451.122894,66.068153,375.804443,448.005249,63.577911,322.379089,457.424255,56.69614,0
126,'2017/06/08 10:58:35:810',2,559.046509,422.616547,47.375557,500.239777,443.288361,63.108997,441.939819,449.91272,65.691948,382.492798,450.094727,63.377041,329.899353,461.444519,56.598652,0
127,'2017/06/08 10:58:35:860',2,557.908875,415.56369,46.747799,502.310638,437.995239,62.578423,444.394104,445.634674,65.29747,385.331024,448.25119,62.952965,333.885376,461.174652,56.215866,0
128,'2017/06/08 10:58:35:911',2,557.163269,410.251709,46.272362,503.016541,433.286621,62.221668,444.957062,441.509888,65.00666,386.42215,445.603088,62.619179,336.046692,459.756989,55.898544,0
129,'2017/06/08 10:58:35:961',2,556.757385,408.10022,46.082188,499.398895,429.825989,62.104515,439.95578,437.507568,64.808029,381.815918,441.398651,62.250374,332.403839,455.984985,55.464657,0
130,'2017/06/08 10:58:36:011',2,554.395996,411.764465,46.371841,488.850342,428.846924,62.078407,427.417053,434.491211,64.460052,369.875275,436.243103,61.553452,320.079987,449.073761,54.575272,0
131,'2017/06/08 10:58:36:061',2,548.852722,419.799347,46.578094,474.330109,429.358551,61.698498,410.979889,431.340271,63.650127,354.630157,428.928192,60.314381,304.64444,439.514862,53.046669,0
132,'2017/06/08 10:58:36:110',2,544.169739,423.976196,46.299358,465.271698,429.326477,61.11869,401.398407,428.921387,62.828892,346.169067,423.528687,59.245804,295.775574,432.57489,51.794178,0
133,'2017/06/08 10:58:36:160',2,537.984192,428.368896,45.536427,455.420959,428.324219,59.949249,391.477356,425.235657,61.374573,338.054138,416.799713,57.479099,287.710144,424.622955,49.829605,0
134,'2017/06/08 10:58:36:211',2,535.9505,430.658112,44.504116,451.085419,427.198883,58.757328,387.604095,421.929413,60.018311,335.674988,411.530731,55.921253,285.020508,418.169128,48.14397,0
135,'2017/06/08 10:58:36:262',2,540.155945,429.291748,42.329906,454.825653,423.621704,56.594849,392.094421,416.54834,57.823784,341.120605,404.355896,53.642326,289.972076,409.980072,45.850857,0
136,'2017/06/08 10:58:36:311',2,541.526245,429.639496,41.048679,457.477661,422.13147,55.11161,395.396027,414.038757,56.27956,345.609253,400.749695,52.039463,294.666748,405.184418,44.169788,0
137,'2017/06/08 10:58:36:361',2,541.129761,431.735199,40.63681,459.718597,422.504944,54.538662,398.635132,413.430237,55.70937,349.857483,399.043091,51.48069,298.937531,402.123474,43.575573,0
138,'2017/06/08 10:58:36:411',2,545.905334,431.040771,40.664528,466.442474,423.190308,54.706707,405.965759,414.193237,56.048527,356.7229,399.785004,51.991791,304.882019,402.081604,44.174294,0
139,'2017/06/08 10:58:36:460',2,551.78186,431.102448,41.776638,475.872284,427.359802,56.106441,415.671997,419.593201,57.799168,364.582581,405.918701,54.121513,310.874329,407.646881,46.505772,0
140,'2017/06/08 10:58:36:511',2,556.660706,431.718079,43.148563,484.539978,432.304413,57.744324,424.414795,426.185822,59.769291,371.114594,413.800537,56.448032,315.689331,415.888367,49.065594,0
141,'2017/06/08 10:58:36:561',2,561.355957,431.195557,44.799656,493.516083,437.297241,59.57267,433.516724,433.470764,61.918159,378.210815,423.508484,58.958477,321.40036,426.44223,51.831833,0
142,'2017/06/08 10:58:36:611',2,562.225037,430.050812,46.422874,496.911835,439.06662,61.225147,436.851013,437.351471,63.657143,380.852234,429.88208,60.830116,323.96106,434.057434,53.833569,0
143,'2017/06/08 10:58:36:660',2,560.424927,426.224243,47.801098,496.187866,438.564758,62.631149,436.107178,439.454987,65.035446,380.207977,435.07428,62.22831,324.02829,440.886414,55.297859,0
144,'2017/06/08 10:58:36:710',2,555.663147,423.069763,48.60955,493.118164,438.05658,63.379581,433.467468,441.169159,65.753929,377.91275,439.256714,62.971428,322.932129,446.648132,56.089897,0
145,'2017/06/08 10:58:36:760',2,547.962891,419.782806,49.453594,485.769653,437.26593,64.119141,426.896454,443.069702,66.324028,371.765991,442.957611,63.50943,319.144684,452.529175,56.578552,0
146,'2017/06/08 10:58:36:811',2,540.826904,417.158691,50.086712,478.487732,435.274872,64.760284,419.735565,442.015137,66.892799,365.073273,443.415314,63.975655,314.942963,455.618073,57.019474,0
